country,country_code,year,gdp_growth,inlation,unemployment,current_account,government_debt,economic_health_score,stability_score,risk_category,is_strong_economy,is_economic_stress
Brazil,BRA,2005,3.202132062,NULL,NULL,1.309884685,NULL,1.120746222,100,HIGH RISK,0,0
Brazil,BRA,2006,3.961988709,6.869537209,10.551,0.972710374,NULL,-2.624961394,82.57946279,HIGH RISK,0,0
Brazil,BRA,2007,6.069870607,4.183568129,9.692,-0.197096995,NULL,-1.135258913,86.12443187,HIGH RISK,0,0
Brazil,BRA,2008,5.094195448,3.641272991,9.28,-2.099337466,NULL,-1.265286191,87.07872701,HIGH RISK,0,0
Brazil,BRA,2009,-0.125812003,5.678593903,8.268,-1.759358026,NULL,-3.246752982,86.0534061,HIGH RISK,0,0
Brazil,BRA,2010,7.528225818,4.888034799,9.419,-3.925945399,66.969,-14.09127792,85.6929652,HIGH RISK,0,0
Brazil,BRA,2011,3.974423079,5.038726901,8.42,-3.194617852,64.599,-14.6414973,86.5412731,HIGH RISK,0,0
Brazil,BRA,2012,1.921175985,6.636449622,7.578,-3.759415368,63.025,-15.15437833,85.78555038,HIGH RISK,0,0
Brazil,BRA,2013,3.00482267,5.40349914,7.251,-3.574221047,61.42,-14.12576189,87.34550086,HIGH RISK,0,0
Brazil,BRA,2014,0.50395574,6.204310666,7.071,-4.498830309,64.702,-15.77262762,86.72468933,HIGH RISK,0,0
Brazil,BRA,2015,-3.545763393,6.329040155,6.755,-3.518392073,62.433,-16.68217522,86.91595985,HIGH RISK,0,0
Brazil,BRA,2016,-3.275916906,9.029901024,8.538,-1.700113602,60.634,-17.21385112,82.43209898,HIGH RISK,0,0
Brazil,BRA,2017,1.322869054,8.739143523,11.58,-1.224299429,61.614,-16.50262454,79.68085648,HIGH RISK,0,0
Brazil,BRA,2018,1.783666761,3.44637335,12.792,-2.807520364,59.595,-15.1819913,83.76162665,HIGH RISK,0,0
Brazil,BRA,2019,1.220777823,3.664850284,12.329,-3.414291115,61.617,-15.71134782,84.00614972,HIGH RISK,0,0
Brazil,BRA,2020,-3.276758796,3.732976212,11.936,-1.641035351,71.73,-19.22346082,84.33102379,HIGH RISK,0,0
Brazil,BRA,2021,4.76260438,3.211768038,13.697,-2.35822088,77.422,-17.88409207,83.09123196,HIGH RISK,0,0
Brazil,BRA,2022,3.016694354,8.301659756,13.158,-2.149677106,82.745,-20.44298893,78.54034024,HIGH RISK,0,0
Brazil,BRA,2023,3.241655328,9.28010609,9.231,-1.235581827,84.777,-19.98459185,81.48889391,HIGH RISK,0,0
India,IND,2005,7.923430621,NULL,NULL,-1.253504002,NULL,2.773200717,100,HIGH RISK,0,0
India,IND,2006,8.060732572,4.24634362,7.551,-0.988988303,NULL,0.084237676,88.20265638,HIGH RISK,0,0
India,IND,2007,7.660815067,5.796523376,7.553,-0.663717649,NULL,-0.366269402,86.65047662,HIGH RISK,0,0
India,IND,2008,3.086698059,6.372881356,7.562,-2.583377493,NULL,-2.084731951,86.06511864,HIGH RISK,0,0
India,IND,2009,7.861888833,8.349267049,7.629,-1.951462091,NULL,-0.825442318,84.02173295,HIGH RISK,0,0
India,IND,2010,8.497584702,10.88235294,7.636,-3.253483689,82.378,-17.58691594,81.48164706,HIGH RISK,0,1
India,IND,2011,5.241316199,11.98938992,7.631,-3.429284686,77.893,-18.04976731,80.37961008,HIGH RISK,0,1
India,IND,2012,5.456387552,8.911793365,7.609,-5.004889718,75.414,-16.85767303,83.47920664,HIGH RISK,0,0
India,IND,2013,6.386106401,9.478996914,7.645,-2.645667117,74.341,-16.44011214,82.87600309,HIGH RISK,0,0
India,IND,2014,7.410227605,10.01787847,7.678,-1.339508965,72.735,-15.87649603,82.30412153,HIGH RISK,0,1
India,IND,2015,7.996253786,6.665656719,7.656,-1.067549072,67.675,-13.98344252,85.67834328,HIGH RISK,0,0
India,IND,2016,8.256305502,4.906973441,7.629,-0.527880606,68.699,-13.73873776,87.46402656,HIGH RISK,0,0
India,IND,2017,6.795383419,4.948216341,7.611,-1.439488203,68.146,-14.14320907,87.44078366,HIGH RISK,0,0
India,IND,2018,6.453851345,3.328173375,7.626,-2.426975458,68.018,-13.9168867,89.04582663,HIGH RISK,0,0
India,IND,2019,3.871436941,3.938826467,7.652,-1.049612039,67.642,-14.87416236,88.40917353,HIGH RISK,0,0
India,IND,2020,-5.777724707,3.729505735,6.51,1.22362111,69.755,-18.34660479,89.76049427,HIGH RISK,0,0
India,IND,2021,9.689592492,6.623436776,7.859,-1.055241668,69.815,-13.86107998,85.51756322,HIGH RISK,0,0
India,IND,2022,7.609364978,5.131407472,6.38,-2.362474815,70.776,-14.11320375,88.48859253,HIGH RISK,0,0
India,IND,2023,9.19075493,6.699034141,4.822,-0.878262847,71.683,-13.6651426,88.47896586,HIGH RISK,0,0
Kenya,KEN,2005,5.90666608,NULL,NULL,-1.346558497,NULL,2.067333128,100,HIGH RISK,0,0
Kenya,KEN,2006,6.4724943,10.31277836,2.739,-1.976469905,NULL,-0.481932667,86.94822164,HIGH RISK,0,1
Kenya,KEN,2007,6.85072977,14.45373421,2.673,-3.229369603,NULL,-1.161241423,82.87326579,HIGH RISK,0,1
Kenya,KEN,2008,0.232282745,9.75888023,2.642,-5.523296303,NULL,-2.530977085,87.59911977,HIGH RISK,0,0
Kenya,KEN,2009,3.306939816,26.23981664,2.751,-3.987288881,NULL,-4.778284392,71.00918336,HIGH RISK,0,1
Kenya,KEN,2010,8.058473603,9.234125924,2.816,-5.216693897,37.412,-7.212759424,87.94987408,HIGH RISK,0,0
Kenya,KEN,2011,5.12110612,3.961388891,2.793,-8.148809352,37.066,-7.111340636,93.24561111,HIGH RISK,0,0
Kenya,KEN,2012,4.568679614,14.0224913,2.699,-7.475871662,34.195,-8.719210395,83.2785087,HIGH RISK,0,1
Kenya,KEN,2013,3.797848393,9.377770035,2.678,-7.851522286,34.254,-8.066607069,87.94422997,HIGH RISK,0,0
Kenya,KEN,2014,5.020111002,5.71749357,2.762,-9.340048506,35.961,-7.269159863,91.52050643,HIGH RISK,0,0
Kenya,KEN,2015,4.967721128,6.878154993,2.767,-6.304596563,36.695,-7.667678604,90.35484501,HIGH RISK,0,0
